id,fullname,email,tasks_count
55,Віталій Верхола,sirchenkookhrim@example.net,7
64,Тимофій Назаренко,hryhoriivenhrynovych@example.com,7
9,Азар Кальченко,tychynavira@example.com,7
51,Євген Стельмах,aronetsillia@example.com,7
15,Мілена Мамчур,panteleimonbashtan@example.org,6
36,Гордій Дубина,olenazabarnyi@example.net,6
48,пан Валентин Андрусенко,okhrymovychsolomiia@example.com,6
24,Абраменко Яків Яковович,baranamaliia@example.org,6
66,Сергій Юхименко,nikoliukhlib@example.org,6
42,Артем Терещенко,markoshakhrai@example.com,6
22,пан Ілля Гайдабура,derkacholes@example.com,6
33,Палій Оксенія Володимирівна,nmakarenko@example.com,6
21,Франц Скирда,rshvaika@example.org,5
62,Марко Черінько,kyrylokhrystych@example.com,5
98,Валерій Колесниченко,rhaidabura@example.com,5
34,Оксана Засядько,dubynapriska@example.com,5
70,Артем Зінченко,bohuslav43@example.net,5
83,пан Симон Євтушок,hannadurdynets@example.com,5
61,Геннадій Скопенко,ctelychenko@example.com,5
54,Азар Франчук,chaikamyron@example.org,4
71,Альбіна Атрощенко,azhazhales@example.com,4
87,Ярослав Данько,iatsenkoostap@example.org,4
38,Яків Бабʼюк,npanchuk@example.net,4
19,Валентин Давиденко,iarema77@example.com,4
57,Орися Ткаченко,darynadrozd@example.org,4
82,Амвросій Гаврилишин,kovalenkoomelian@example.org,4
72,Гаврило Терещук,amvrosii37@example.com,4
12,Святослава Єременко,palekseienko@example.org,4
5,Златослава Заруба,parmen78@example.org,4
1,Зорян Ватаманюк,valentyn96@example.com,4
39,Орина Ґжицька,ovcharenkoarkadii@example.net,4
92,Пантелеймон Данько,demydenkomyron@example.org,4
26,Олександр Дзиндра,yshynkarenko@example.net,4
29,Прохір Масляк,hzabila@example.org,4
41,Нестор Ярош,havrylyshynanazar@example.org,4
27,Марко Ґерета,valentynashcherbak@example.com,4
31,Лариса Козак,milenaiashchenko@example.com,4
3,Марія Притула,cdemydenko@example.com,4
17,Дараган Амвросій Охрімович,dvermenych@example.com,4
18,Прокопович Віра Устимівна,opanasbaranets@example.com,4
49,Григорій Ґерета,ruslan72@example.com,3
8,Едита Забара,hutsuliakpylyp@example.net,3
68,Богданна Гаврилишин,jkhrystych@example.org,3
80,Стець Михайлина Васильівна,asimashkevych@example.net,3
86,Валентин Ющенко,veniiamynvovk@example.org,3
84,Наталія Габелко,vitaliiiurchyshyn@example.org,3
69,Тарас Абраменко,fmykhaliuk@example.org,3
60,Оніщук Леонід Микитович,serhiiivashchenko@example.com,3
14,Дарина Пустовіт,konopliaadam@example.org,3
13,Василь Гресь,perepelytsiaparmen@example.org,3
2,Богуслав Зінчук,itsymbaliuk@example.net,3
73,Герман Затула,maksym64@example.org,3
32,Пилип Таран,oleksa92@example.com,3
7,Амалія Вакуленко,solomiiaoliinyk@example.org,3
25,Мирон Притула,xovcharenko@example.org,3
28,Данько Орина Орестівна,kalenychenkoamaliia@example.net,3
88,Кирило Приймак,ievhen34@example.net,2
16,пан Данило Колесниченко,frantsrudko@example.org,2
40,Оксенія Канівець,xchuiko@example.org,2
91,Одарка Романець,kyryloizhak@example.org,2
59,Святослав Колісниченко,nadiia84@example.com,2
100,Ілля Цушко,marianaartymyshyn@example.com,2
93,пан Юхим Макогон,kostiantyn93@example.com,2
89,Тарас Байда,viktoriia93@example.net,2
90,Галина Черненко,lysenkoanastasiia@example.net,2
81,добродійка Оксана Їжакевич,taras18@example.org,2
63,Данило Нестайко,shtokalovalerii@example.com,2
77,Анжела Вертипорох,fzabara@example.net,2
56,Максим Євтушок,aleksiuksvitlana@example.com,2
94,Оксана Гречко,amvrosii78@example.net,2
30,Вікторія Акуленко,adamprotsenko@example.com,2
47,Олена Овчаренко,rudkofrants@example.net,2
4,Валентин Фоменко,llukash@example.org,2
23,Варвара Литвин,umanetsokhrim@example.com,2
74,Валентина Габелко,ostap78@example.org,2
11,Ярина Засенко,bchumachenko@example.org,2
99,Альбіна Тарасенко,alinagereta@example.com,2
35,Наталія Ткач,priskamazur@example.org,1
52,Богуслава Литвиненко,czatovkaniuk@example.net,1
20,Богуслав Данилюк,skyrdairena@example.net,1
37,Соломія Ільєнко,viacheslav32@example.net,1
97,Маруся Кабалюк,ivasiukiakiv@example.org,1
50,добродій Максим Чайка,franchukteodor@example.org,1
79,Ярина Габелко,hbazylevych@example.net,1
85,Голобородько Віктор Євгенійович,avreliiiashchenko@example.net,1
45,Пармен Василевич,havrylyshynamaliia@example.net,1
95,Руслан Ткаченко,atiahnybok@example.net,1
44,пані Вікторія Гунько,aaron44@example.com,1
96,Аврелій Базавлученко,adadakhno@example.com,1
46,Пилип Аронець,pavlodanylchuk@example.com,1
53,Лукаш Леонід Макарович,handriishyn@example.com,1
58,Орися Сич,lfomenko@example.net,1
10,Богдан Луценко,wbabych@example.org,0
6,Височан Леонтій Федорович,mykhailynacharnysh@example.com,0
65,Алевтин Атаманчук,marynaiatsenko@example.org,0
78,Наталія Ґжицька,vlasiukbohuslav@example.com,0
75,Зорян Гавриленко,dubynavalerii@example.net,0
43,Вишняк Віталій Хомович,martazatula@example.com,0
67,Устим Василашко,fareniukillia@example.org,0
76,Алла Іщак,mykytavakarchuk@example.net,0
