id,fullname,email
4,Валентин Фоменко,llukash@example.org
5,Златослава Заруба,parmen78@example.org
7,Амалія Вакуленко,solomiiaoliinyk@example.org
10,Богдан Луценко,wbabych@example.org
11,Ярина Засенко,bchumachenko@example.org
12,Святослава Єременко,palekseienko@example.org
13,Василь Гресь,perepelytsiaparmen@example.org
14,Дарина Пустовіт,konopliaadam@example.org
15,Мілена Мамчур,panteleimonbashtan@example.org
16,пан Данило Колесниченко,frantsrudko@example.org
21,Франц Скирда,rshvaika@example.org
24,Абраменко Яків Яковович,baranamaliia@example.org
25,Мирон Притула,xovcharenko@example.org
29,Прохір Масляк,hzabila@example.org
35,Наталія Ткач,priskamazur@example.org
40,Оксенія Канівець,xchuiko@example.org
41,Нестор Ярош,havrylyshynanazar@example.org
50,добродій Максим Чайка,franchukteodor@example.org
54,Азар Франчук,chaikamyron@example.org
57,Орися Ткаченко,darynadrozd@example.org
65,Алевтин Атаманчук,marynaiatsenko@example.org
66,Сергій Юхименко,nikoliukhlib@example.org
67,Устим Василашко,fareniukillia@example.org
68,Богданна Гаврилишин,jkhrystych@example.org
69,Тарас Абраменко,fmykhaliuk@example.org
73,Герман Затула,maksym64@example.org
74,Валентина Габелко,ostap78@example.org
81,добродійка Оксана Їжакевич,taras18@example.org
82,Амвросій Гаврилишин,kovalenkoomelian@example.org
84,Наталія Габелко,vitaliiiurchyshyn@example.org
86,Валентин Ющенко,veniiamynvovk@example.org
87,Ярослав Данько,iatsenkoostap@example.org
91,Одарка Романець,kyryloizhak@example.org
92,Пантелеймон Данько,demydenkomyron@example.org
97,Маруся Кабалюк,ivasiukiakiv@example.org
